id,text,processed_text
0,Single,single
1,Single but willing to get married soon,single willing get married soon
2,Married,married
3,Separated,separated
4,divorced ,divorced
5,widowed,widowed
6,Domestic Partnership,domestic partnership
7,Soon to be engaged,soon engaged
8,Engaged,engaged
9,Middle School ,middle school
10,Completed some high school,completed high school
11,High school graduate,high school graduate
12,Other post high school vocational training,post high school vocational training
13,Completed some college,completed college
14,Associate Degree,associate degree
15,College Degree ,college degree
16,Completed some graduate,completed graduate
17,Masters degree,master degree
18,Doctorate degree,doctorate degree
19,Undergraduate degree ,undergraduate degree
20,Undergraduate degree,undergraduate degree
21,Post graduate other ,post graduate
22,Post graduate MA,post graduate
23,Post graduate PhD,post graduate phd
24,Boy under age 1,boy age 1
25,Girl under age 1,girl age 1
26,Boy age 1,boy age 1
27,Girl age 1,girl age 1
28,Boy age 2,boy age 2
29,Girl age 2,girl age 2
30,Boy age 3,boy age 3
31,Girl age 3,girl age 3
32,Boy age 4,boy age 4
33,Girl age 4,girl age 4
34,Boy age 5,boy age 5
35,Girl age 5,girl age 5
36,Boy age 6,boy age 6
37,Girl age 6,girl age 6
38,Boy age 7,boy age 7
39,Girl age 7,girl age 7
40,Boy age 8,boy age 8
41,Girl age 8,girl age 8
42,Boy age 9,boy age 9
43,Girl age 9,girl age 9
44,Boy age 10,boy age 10
45,Girl age 10,girl age 10
46,Boy age 11,boy age 11
47,Girl age 11,girl age 11
48,Boy age 12,boy age 12
49,Girl age 12,girl age 12
50,Male teen age 13,male teen age 13
51,Female teen age 13,female teen age 13
52,Male teen age 14,male teen age 14
53,Female teen age 14,female teen age 14
54,Male teen age 15,male teen age 15
55,Female teen age 15,female teen age 15
56,Male teen age 16,male teen age 16
57,Female teen age 16,female teen age 16
58,Male teen age 17,male teen age 17
59,Female teen age 17,female teen age 17
60,None of the above,none
61,Share decisions equally,share decision equally
62,Cat,cat
63,Dog,dog
64,Bird,bird
65,Fish,fish
66,Amphibians ,amphibian
67,Small animals or rodents ,small animal rodent
68,Reptiles ,reptile
69,Horse,horse
70,Rented apartment,rented apartment
71,Owned apartment,owned apartment
72,Rented house,rented house
73,Owned house,owned house
74,Farm,farm
75,University Residence,university residence
76,Living with parents,living parent
77,Accounting,accounting
78,Advertising,advertising
79,Fishing,fishing
80,Agriculture,agriculture
81,Architecture,architecture
82,Automotive,automotive
83,Aviation,aviation
84,Financial,financial
85,Banking,banking
86,BioTech,biotech
87,Brokerage,brokerage
88,Electrical installations,electrical installation
89,Carpenting,carpenting
90,Plastics,plastic
91,Chemicals,chemical
92,Communications,communication
93,Computer Hardware,computer hardware
94,software,software
95,hardware,hardware
96,Computer Reseller ,computer reseller
97,Computer Software,computer software
98,Construction,construction
99,Consulting,consulting
100,Consumer Electronics,consumer electronics
101,Consumer Packaged Goods,consumer packaged good
102,Education,education
103,Energy,energy
104,Engineering,engineering
105,Environmental Services,environmental service
106,Apparel,apparel
107,Fashion,fashion
108,Beverage,beverage
109,Food,food
110,Public Sector,public sector
111,GovernmentPublic Sector,governmentpublic sector
112,Healthcare,healthcare
113,HospitalityTourism,hospitalitytourism
114,Human Resources,human resource
115,Information TechnologyIT,information technologyit
116,Insurance,insurance
117,Internet,internet
118,Law,law
119,Legal,legal
120,Manufacturing,manufacturing
121,Market Research,market research
122,Sales,sale
123,Marketing,marketing
124,Entertainment,entertainment
125,Media,medium
126,Military,military
127,Social services,social service
128,Non Profit,non profit
129,Personal Services,personal service
130,Pharmaceuticals,pharmaceutical
131,Printing Publishing,printing publishing
132,Public Relations,public relation
133,Property,property
134,Real Estate,real estate
135,Retail,retail
136,Security,security
137,Shipping,shipping
138,Telecommunications,telecommunication
139,Transportation,transportation
140,AdministrationGeneral Staff,administrationgeneral staff
141,Customer ServiceClient Service,customer serviceclient service
142,Executive Leadership,executive leadership
143,FinanceAccounting,financeaccounting
144,Operations,operation
145,Procurement,procurement
146,SalesBusiness Development,salesbusiness development
147,Technology Development Hardware ,technology development hardware
148,Technology Development Software not only IT,technology development software
149,Technology Implementation,technology implementation
150,CLevel eg CEO CFO Owner Partner President,clevel eg ceo cfo owner partner president
151,Vice President EVP SVP AVP VP,vice president evp svp avp vp
152,Director Group Director Sr Director Director,director group director sr director director
153,Manager Group Manager Sr Manager Manager Program Manager,manager group manager sr manager manager program manager
154,Analyst,analyst
155,Assistant or Associate,assistant associate
156,Administrative Clerical or Support Staff,administrative clerical support staff
157,Consultant,consultant
158,Intern,intern
159,Volunteer,volunteer
160,IT Hardware,hardware
161,IT Software,software
162,Printers and copiers,printer copier
163,Financial ServicesBanking  Business Credit,financial servicesbanking business credit
164,HR  Employee Benefits  Training,hr employee benefit training
165,Office supplies  Maintenance,office supply maintenance
166,Corporate travel,corporate travel
167,Shipping  Mail Services,shipping mail service
168,Legal services,legal service
169,MarketingAdvertising,marketingadvertising
170,Food services,food service
171,Auto leasingpurchasing,auto leasingpurchasing
172,I dont have influence or decision making authority,dont influence decision making authority
173,Consulting Services,consulting service
174,Internet Services,internet service
175,Financial Department,financial department
176,Office supplies,office supply
177,Yes I own a carcars,yes carcars
178,Yes I have access to a carcars,yes access carcars
179,Yes I leasehave a company car,yes leasehave company car
180,No I dont have access to a car,dont access car
181,Prefer not to say,prefer say
182,I contribute equally in automotive decisions,contribute equally automotive decision
183,Acura,acura
184,Alfa Romeo,alfa romeo
185,Audi,audi
186,BMW,bmw
187,Buick,buick
188,Cadillac,cadillac
189,Chevrolet,chevrolet
190,Chrysler,chrysler
191,Ferrari,ferrari
192,Fiat,fiat
193,Ford,ford
194,GMC,gmc
195,Honda,honda
196,Hummer,hummer
197,Hyundai,hyundai
198,Infiniti,infiniti
199,Isuzu,isuzu
200,Jaguar,jaguar
201,Jeep,jeep
202,Kia,kia
203,Lamborghini,lamborghini
204,LandRange Rover,landrange rover
205,Lexus,lexus
206,Maserati,maserati
207,Mazda,mazda
208,Mercedes,mercedes
209,MG,mg
210,Mini,mini
211,Mitsubishi,mitsubishi
212,Nissan,nissan
213,Pontiac,pontiac
214,Porsche,porsche
215,Rover,rover
216,Saab,saab
217,Saturn,saturn
218,Smart,smart
219,Subaru,subaru
220,Suzuki,suzuki
221,Toyota,toyota
222,Volkswagen,volkswagen
223,Volvo,volvo
224,I dont ownlease a car,dont ownlease car
225,Renault,renault
226,Dodge,dodge
227,Lincoln,lincoln
228,Ram,ram
229,Scion,scion
230,Tesla,tesla
231,Opel,opel
232,Skoda,skoda
233,Seat,seat
234,Peugeot,peugeot
235,Citroen,citroen
236,Dacia,dacia
237,Daihatsu,daihatsu
238,Sachsenring,sachsenring
239,DS,d
240,Vauxhall,vauxhall
241,MicroCity Car eg Smart Fortwo,microcity car eg smart fortwo
242,Sub Compact eg Toyota Yaris,sub compact eg toyota yaris
243,Compact SedanStationwagonHatch eg VW Golf,compact sedanstationwagonhatch eg vw golf
244,Mid Size eg Mazda 6,mid size eg mazda 6
245,Full size SedanStationwagonHatch eg Toyota Avalon,full size sedanstationwagonhatch eg toyota avalon
246,LuxuryPrestige eg BMWMercedes,luxuryprestige eg bmwmercedes
247,HybridElectricBiogas eg Toyota Prius,hybridelectricbiogas eg toyota prius
248,SportsPerfomance Car eg Audi TT,sportsperfomance car eg audi tt
249,MPVMinivan eg Dodge Caravan,mpvminivan eg dodge caravan
250,SUVCross Over4x4 eg Honda CRV,suvcross over4x4 eg honda crv
251,Pick up eg Ford F150,pick eg ford f150
252,Van eg Ford ESeries,van eg ford eseries
253,RVMotor Home or Camper Van,rvmotor home camper van
254,Before 1995,1995
255,1995,1995
256,1996,1996
257,1997,1997
258,1998,1998
259,1999,1999
260,2000,2000
261,2001,2001
262,2002,2002
263,2003,2003
264,2004,2004
265,2005,2005
266,2006,2006
267,2007,2007
268,2008,2008
269,2009,2009
270,2010,2010
271,2011,2011
272,2012,2012
273,2013,2013
274,2014,2014
275,2015,2015
276,2016,2016
277,2017,2017
278,2018,2018
279,2019,2019
280,2020,2020
281,2021,2021
282,New,new
283,Used,used
284,UndecidedDont know,undecideddont know
285,2022,2022
286,2023,2023
287,2024,2024
288,Less than once per week,le per week
289,One to three times per week,one three time per week
290,Four to six times per week,four six time per week
291,Seven to nine times per week,seven nine time per week
292,Ten times or more per week,ten time per week
293,I dont eat at fast food restaurants,dont eat fast food restaurant
294,AW Restaurants,aw restaurant
295,Arbys,arbys
296,Blimpies,blimpies
297,Bojangles Famous Chicken n Biscuits,bojangles famous chicken n biscuit
298,Burger King,burger king
299,Camilles Sidewalk Cafe,camilles sidewalk cafe
300,Captain Ds,captain d
301,Charleys Grilled Subs,charleys grilled sub
302,Checkers,checker
303,Chesters International,chester international
304,Churchs Chicken,church chicken
305,Dairy Queen,dairy queen
306,Del Taco,del taco
307,Dunkin Donuts,dunkin donut
308,Hardees,hardees
309,Hesburger,hesburger
310,Hungry Jacks,hungry jack
311,InNOut Burger,innout burger
312,Jack in the Box,jack box
313,KFC,kfc
314,Krispy Kreme,krispy kreme
315,Krystal,krystal
316,Long John Silvers,long john silver
317,McDonalds,mcdonalds
318,Mister Donut,mister donut
319,Moes Southwest Grill,moes southwest grill
320,Noble Romans,noble roman
321,Panda Express,panda express
322,Pizza Hut,pizza hut
323,Pollo Tropical,pollo tropical
324,Popeyes Chicken  Biscuits,popeyes chicken biscuit
325,Pret A Manger,pret manger
326,Qdoba Mexican Grill,qdoba mexican grill
327,Quiznos,quiznos
328,Raising Canes Chicken Fingers,raising cane chicken finger
329,Red Rooster,red rooster
330,Shakeys Pizza,shakeys pizza
331,Sonic DriveIn,sonic drivein
332,Steak n Shake,steak n shake
333,Subway,subway
334,Taco Bell,taco bell
335,Taco Bueno,taco bueno
336,Taco del Mar,taco del mar
337,Taco Tico,taco tico
338,Taco Time,taco time
339,TCBY,tcby
340,The Pizza Company,pizza company
341,Tim Hortons,tim hortons
342,Wendys,wendys
343,Whataburger,whataburger
344,White Castle,white castle
345,Wimpy,wimpy
346,Beer,beer
347,Wine,wine
348,Flavored malt beverages or wine coolers,flavored malt beverage wine cooler
349,Spirits,spirit
350,Premixed packaged spiritsflavored alcoholic beverages,premixed packaged spiritsflavored alcoholic beverage
351,Energy drinks,energy drink
352,Coffee,coffee
353,Tea,tea
354,Carbonated soft drinks,carbonated soft drink
355,Fruit drinksjuices,fruit drinksjuices
356,Bottled water,bottled water
357,None of these,none
358,Regular soda,regular soda
359,Diet soda,diet soda
360,Sports Drink,sport drink
361,Bottled water still,bottled water still
362,Bottled water sparkling,bottled water sparkling
363,Juice,juice
364,Domestic beer,domestic beer
365,Imported beer,imported beer
366,Red wine,red wine
